customer_id,customer_name,email,gender,city,state,signup_date
C00001,Aditi Shah,aditi.shah2506@gmail.com,Male,Hyderabad,Telangana,2023-02-11
C00002,Vikram Kadam,vikram.kadam7629@gmail.com,Female,Mumbai,Maharashtra,2024-03-22
C00003,Ishaan Malhotra,ishaan.malhotra2693@gmail.com,Male,Nagpur,Maharashtra,2023-08-23
C00004,Raj Sharma,raj.sharma9443@gmail.com,Female,Kochi,Kerala,2024-09-30
C00005,Kavya Mehta,kavya.mehta1679@gmail.com,Male,NAGPUR,Maharashtra,2024-05-12
C00006,Pallavi Saxena,pallavi.saxena8738@gmail.com,Female,Bengaluru,Karnataka,2024-12-12
C00007,Ananya Naik,ananya.naik217@gmail.com,Female,Nashik,Maharashtra,2024-11-29
C00008,Arjun Singh,arjun.singh2516@gmail.com,Male,Delhi,Delhi,2025-07-30
C00009,Isha Chavan,isha.chavan7626@gmail.com,Female,Chennai,Tamil Nadu,2025-09-17
C00010,Priya Banerjee,priya.banerjee4579@outlook.com,Male,HYDERABAD,Telangana,2023-06-27
C00011,Varun Jain,varun.jain5521@gmail.com,Female,nagpur,Maharashtra,2025-02-15
C00012,Priya Iyer,priya.iyer5823@gmail.com,Female,Kolkata,West Bengal,2024-03-10
C00013,Neha Menon,neha.menon9116@gmail.com,Male,Nagpur,Maharashtra,2024-07-19
C00014,Anika Shah,anika.shah8014@yahoo.com,Male,Mysuru,Karnataka,2025-04-12
C00015,Vikram Chavan,vikram.chavan7352@gmail.com,Male,Mysuru,Karnataka,2025-10-02
C00016,Nikhil Shah,nikhil.shah5026@gmail.com,Female,Ahmedabad,Gujarat,2024-05-13
C00017,Nisha Naik,nisha.naik9027@gmail.com,Female,Delhi,Delhi,2025-05-21
C00018,Varun Joshi,varun.joshi3787@gmail.com,Male,Chennai,Tamil Nadu,2024-05-29
C00019,Priya Kulkarni,priya.kulkarni3148@gmail.com,Female,Mysuru,Karnataka,2024-01-15
C00020,Neha Mishra,neha.mishra9787@gmail.com,Male,Nagpur,Maharashtra,2025-12-10
C00021,Kavya Deshmukh,kavya.deshmukh2949@gmail.com,Male,Hyderabad,Telangana,2025-01-09
C00022,Kabir Reddy,kabir.reddy903@yahoo.com,Female,Chennai,Tamil Nadu,2023-04-04
C00023,Deepak Chavan,deepak.chavan1690@gmail.com,Female,indore,Madhya Pradesh,2025-10-02
C00024,Vikram Pillai,vikram.pillai3030@gmail.com,Female,Kolkata,West Bengal,2024-11-28
C00025,Vikram Kulkarni,vikram.kulkarni6575@outlook.com,Male,Indore,Madhya Pradesh,2023-05-14
C00026,Pallavi Chavan,pallavi.chavan2495@gmail.com,Female,Nashik,Maharashtra,2023-04-20
C00027,Anika Shah,anika.shah9943@gmail.com,Female,Mumbai,Maharashtra,2025-05-02
C00028,Tanvi Shetty,tanvi.shetty9652@gmail.com,Female,Kolkata,West Bengal,2024-08-31
C00029,Pallavi Malhotra,pallavi.malhotra3414@gmail.com,Female,Bengaluru,Karnataka,2023-07-23
C00030,Anika Iyer,anika.iyer9053@gmail.com,Male,HYDERABAD,Telangana,2023-12-22
C00031,Aarav Singh,aarav.singh4781@gmail.com,Male,Kolkata,West Bengal,2025-08-20
C00032,Nikhil More,nikhil.more1176@gmail.com,Female,Chennai,Tamil Nadu,2025-07-18
C00033,Raj Kadam,raj.kadam6975@gmail.com,Male,Surat,Gujarat,2024-02-10
C00034,Diya Shetty,diya.shetty1179@gmail.com,Male,Chennai,Tamil Nadu,2023-10-19
C00035,Pooja Malhotra,pooja.malhotra7205@gmail.com,Female,Mysuru,Karnataka,2024-08-14
C00036,Pooja More,pooja.more8209@yahoo.com,Female,Ahmedabad,Gujarat,2024-07-11
C00037,Tanvi Mehta,tanvi.mehta7088@gmail.com,Female,Nagpur,Maharashtra,2023-03-23
C00038,Aditi Mehta,aditi.mehta4425@gmail.com,Male,Hyderabad,Telangana,2023-02-12
C00039,Vikram Naik,vikram.naik4567@gmail.com,Female,Nashik,Maharashtra,2025-06-24
C00040,Yash Mehta,yash.mehta6700@gmail.com,Female,Kolkata,West Bengal,2024-12-13
C00041,Arjun Banerjee,arjun.banerjee6754@outlook.com,Female,Pune,Maharashtra,2024-11-06
C00042,Sameer Das,sameer.das7461@gmail.com,Female,Surat,Gujarat,2023-03-17
C00043,Nandini Kumar,nandini.kumar8441@gmail.com,Female,Mumbai,Maharashtra,2025-04-07
C00044,Shivani Patil,shivani.patil5937@outlook.com,Female,Hyderabad,Telangana,2025-11-27
